"url_bulletin","EpiWeek","DateMin","DateMax","LGA","Lat","Lon","SuspCases","ConfCases","ProbCases","HCW","ConfDeaths","CFR"
NA,1,2014-12-29,2015-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,2015-01-05,2015-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,2015-01-12,2015-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,2015-01-19,2015-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,2015-01-26,2015-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,6,2015-02-02,2015-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,7,2015-02-09,2015-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8,2015-02-16,2015-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,2015-02-23,2015-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,10,2015-03-02,2015-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,11,2015-03-09,2015-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,12,2015-03-16,2015-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,13,2015-03-23,2015-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,14,2015-03-30,2015-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,15,2015-04-06,2015-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,16,2015-04-13,2015-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,17,2015-04-20,2015-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,18,2015-04-27,2015-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,19,2015-05-04,2015-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,20,2015-05-11,2015-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,21,2015-05-18,2015-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,22,2015-05-25,2015-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,23,2015-06-01,2015-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,24,2015-06-08,2015-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,25,2015-06-15,2015-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,26,2015-06-22,2015-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,27,2015-06-29,2015-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,28,2015-07-06,2015-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,29,2015-07-13,2015-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,30,2015-07-20,2015-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,31,2015-07-27,2015-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,32,2015-08-03,2015-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,33,2015-08-10,2015-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,34,2015-08-17,2015-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,35,2015-08-24,2015-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,36,2015-08-31,2015-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,37,2015-09-07,2015-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,38,2015-09-14,2015-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,39,2015-09-21,2015-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,40,2015-09-28,2015-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,41,2015-10-05,2015-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,42,2015-10-12,2015-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,43,2015-10-19,2015-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,44,2015-10-26,2015-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,45,2015-11-02,2015-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,46,2015-11-09,2015-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,47,2015-11-16,2015-11-22,"Garum Mallam",11.6835054,8.3602953,NA,2,NA,NA,NA,NA
NA,48,2015-11-23,2015-11-29,"Toro",10.0568128,9.0582467,NA,1,NA,NA,NA,NA
NA,48,2015-11-23,2015-11-29,"Ardo-Kola",8.8468556,10.8762477,NA,1,NA,NA,NA,NA
NA,49,2015-11-30,2015-12-06,"Dass",10.0285674,9.3261512,NA,1,NA,NA,NA,NA
NA,49,2015-11-30,2015-12-06,"Ibadan South West",7.3446285,3.8306193,NA,1,NA,NA,NA,NA
NA,50,2015-12-07,2015-12-13,"Alkaleri",10.2694429,10.3208826,NA,1,NA,NA,NA,NA
NA,51,2015-12-14,2015-12-20,"Jos North",9.9427289,8.8124815,NA,2,NA,NA,NA,NA
NA,51,2015-12-14,2015-12-20,"Jalingo",8.8971442,11.3287545,NA,1,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Abuja Municipal",9.0242468,7.3674655,NA,1,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Obio/Akpor",4.8665554,6.9396897,NA,2,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Uhunmwonde",6.5247199,5.554873,NA,1,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Akure South",7.2240233,5.0584892,NA,1,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Etsako East",7.187563,6.3206927,NA,1,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Etsako West",7.0003413,6.1625553,NA,4,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Ussa",7.1005709,9.4108487,NA,1,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Ardo-Kola",8.8468556,10.8762477,NA,1,NA,NA,NA,NA
NA,52,2015-12-21,2015-12-27,"Mangu",9.492877,9.106187,NA,1,NA,NA,NA,NA
